,10bldgs_centr_dyn_jan,10bldgs_centr_dyn_mar,10bldgs_centr_dyn_nov,10bldgs_centr_nodyn_jan,10bldgs_centr_nodyn_mar,10bldgs_centr_nodyn_nov,10bldgs_decentr_dyn_jan,10bldgs_decentr_dyn_mar,10bldgs_decentr_dyn_nov,10bldgs_decentr_nodyn_jan,10bldgs_decentr_nodyn_mar,10bldgs_decentr_nodyn_nov,PIcons_jan,PIcons_mar,PIcons_nov,minene_decentr_jan,minene_decentr_mar,minene_decentr_nov
Case Cost [pounds],2.3005670985391844,0.7668800259063329,0.8069877088194324,1.9828448209885703,0.7579540028395548,0.3358195720995744,2.0836334227683677,0.038617283791280724,0.6000482229118097,1.564881849407116,-0.07260089013855883,0.20059850552451136,,,,,,
PI-diff [kWh],-3.146424178028459,2.099255599372513,-0.7153824573951888,-3.208443623674266,2.298417744036274,-1.1818145892916294,-3.776584658365971,-0.013027449851355679,-1.6158985469668459,-3.9367142446508496,0.041168092306459424,-1.4420820383866124,,,,,,
PI-diff-mean [W],-3641.2028185542986,1911.2961255011799,-1158.050068466932,-3666.5751824519734,2094.595057942652,-978.5121958274752,-3909.3259857222206,1.58931320928813,-1761.090474144743,-3895.574067130885,44.388561120654266,-1368.9304779066247,,,,,,
Total Consumption [kWh],25.47183312273308,5.398413832427881,12.154157461419354,24.615467522490178,5.0645008450799756,10.50189910778494,24.718099219020733,1.4095926527470597,11.586349300381148,23.508296318753455,0.7560317612142234,9.520484144256407,,,,,,
Violation Ch,0.5788337738697228,2.660921230100679,0.2995248340997989,0.3655779682688234,2.559714049490679,0.09118704469722161,0.4332836706304686,2.205316412745191,0.24978818112346346,0.43804712978446503,2.204000277369692,0.10953594807413462,,,,,,
dr-diff [kWh],4.311134515165268,2.156787615890587,2.2616229170198996,2.0771907529197815,2.3559497605543473,-0.7995809510578153,2.6510975139796678,0.044504566666717954,0.7753919456305534,0.5010222422558454,-0.2871215835899034,-1.5733005540113663,,,,,,
dr-diff-mean [W],3979.508783229478,1990.8808762066956,2087.651923402984,1917.406848849029,2174.7228558963207,-738.074724053368,2447.1669359812317,41.08113846158581,715.7464113512799,462.4820697746264,-265.03530792914165,-1452.2774344720306,,,,,,
dr-diff-wols [kWh],2.634066125618928,1.646511391948546,0.9696847183080272,-0.42280924708021783,1.1515932649633378,-3.2995809510578162,1.578439522743767,0.042931633742623,0.06916934081327636,-1.9989777577441543,-0.7252928467686404,-3.559848357496475,,,,,,
dr-diff-wols-mean [W],2431.445654417472,1519.8566694909655,895.0935861304866,-390.28545884327804,1063.0091676584657,-3045.7670317456764,1457.0210979173235,39.629200377805844,63.848622289178174,-1845.2102379176808,-669.5010893248989,-3286.013868458285,,,,,,
elec_costs,1.5996227204726765,0.3907789361732432,0.5148294223102632,1.7433940348869066,0.40982034204845524,0.4841405808995859,1.6322724693054294,0.044510309399782566,0.5435846738048049,1.558414249390002,0.04334434445216877,0.6029590153909009,,,,,,
enemin-diff [kWh],-0.4890293970618747,1.9838356208541499,-0.007177996558312543,-0.5510488427076821,2.1829977655179116,-0.4736101284547538,-1.1191898773993882,-0.12844742836971867,-0.9076940861299702,-1.2793194636842673,-0.07425188621190355,-0.7338775775497358,,,,,,
enemin-diff-mean [W],-972.3436730923431,1801.498515445364,-475.0201187858276,-997.7160369900179,1984.7974478868366,-295.4822461463707,-1240.4668402602667,-108.2082968465276,-1078.0605244636388,-1226.714921668931,-65.4090489351615,-685.9005282255207,,,,,,
flex_costs,0.7009443780665078,0.37610108973308964,0.2921582865091692,0.2394507861016638,0.34813366079109953,-0.14832100880001148,0.4513609534629383,-0.0058930256085018414,0.05646354910700483,0.006467600017114057,-0.1159452345907276,-0.40236050986638955,,,,,,
peak consumption [kW],24.818709675647618,3.143357613080735,23.861049435968052,25.45816743155686,3.277036425272119,16.619906467937255,25.4423609543623,3.4375589039366066,23.86105417255012,22.6760968732465,2.571629109184963,15.881650947858233,,,,,,
peak time,2017-01-07 17:10:00,2017-03-01 19:00:00,2017-11-20 16:50:00,2017-01-07 17:20:00,2017-03-01 19:00:00,2017-11-20 17:15:00,2017-01-07 16:55:00,2017-03-01 17:05:00,2017-11-20 16:50:00,2017-01-07 17:10:00,2017-03-01 17:15:00,2017-11-20 17:10:00,,,,,,
totcons_hc [kWh],11.904424570403949,3.545425132896163,4.299387504025141,12.24105974111146,3.883620614605842,4.75623139144499,11.548333534418388,0.16212566645991597,3.514195881291119,11.50585708619068,0.2226022190609848,4.027803464619023,15.348611732646317,0.19361458404470572,5.110983119995125,12.869005444580173,0.3191610481670198,4.837649643803107
totcons_lc [kWh],13.567408552329136,1.8529886995317164,7.854769957394212,12.374407781378723,1.1808802304741353,5.745667716339952,13.169765684602348,1.2474669862871437,8.072153419090029,12.002439232562784,0.5334295421532387,5.492680679637384,6.085910231952392,0.0,1.9089773223367756,8.01094791148456,0.0035830421987878384,2.810953921871777
