,10bldgs_centr_dyn_fin_noemu_jan,10bldgs_centr_dyn_fin_noemu_mar,10bldgs_centr_dyn_fin_noemu_nov,10bldgs_centr_nodyn_fin_noemu_jan,10bldgs_centr_nodyn_fin_noemu_mar,10bldgs_centr_nodyn_fin_noemu_nov,10bldgs_decentr_dyn_fin_noemu_jan,10bldgs_decentr_dyn_fin_noemu_mar,10bldgs_decentr_dyn_fin_noemu_nov,10bldgs_decentr_nodyn_fin_noemu_jan,10bldgs_decentr_nodyn_fin_noemu_mar,10bldgs_decentr_nodyn_fin_noemu_nov,PIcons_jan,PIcons_mar,PIcons_nov,minene_decentr_jan,minene_decentr_mar,minene_decentr_nov
PI-diff [kWh],-3.5866470779622235,0.06929291200854477,-0.07682656146416435,-3.6018765772237114,0.17989928839907715,-0.1720335903253287,-3.9044751086950407,0.20263758760311007,0.15190691517273874,-3.6001965970525274,0.320479338933294,0.43144599713829074,,,,,,
PI-diff-mean [W],-3626.0982306609203,48.67543642113244,-262.4318045518068,-3643.3463097110725,119.47570740100404,-374.64995242766145,-3974.406788049818,112.82564040076467,-81.12076503345891,-3760.860977850685,132.17990145708796,170.07302154824293,,,,,,
Total Consumption [kWh],54.72817161338982,5.427862012371797,26.295488984162084,52.86129684736333,3.5986024467075355,25.539693500769506,54.39577814466425,12.134362613384075,29.138029358393567,53.43442266960283,5.76008674705739,26.824572580517568,,,,,,
Total Cost [pounds],1.7622330043788361,0.02616738979289021,0.8462537341024898,1.3812825447436305,0.04332780685520965,0.5107227389570509,1.9068378083343314,0.19381965318037714,0.9943605853256172,1.7035626797805563,0.18670930771635597,0.8114752611894062,,,,,,
Violation Ch,0.4169991634514645,2.948455024991271,0.25548503634209396,0.43932801040379843,2.88086009319855,0.2501240325422411,0.45313654543078025,2.346665459022494,0.30931325231048845,0.4638252253983523,2.253165000904384,0.3452106100917973,,,,,,
dr-diff [kWh],-1.934987959211396,-0.8931736155429479,-0.5114294939846092,0.5651301163012206,-0.7700338285559415,1.1818702325415538,-0.0077034263042115,-0.08117200089655657,-0.4978589633784572,2.5775561161906486,0.8363534362461494,2.8884803643124473,,,,,,
dr-diff-mean [W],-928.7942204214702,-428.723335460615,-245.48615711261246,271.2624558245859,-369.6162377068519,567.2977116199459,-3.69764462602152,-38.962560430347146,-238.97230242165944,1237.2269357715113,401.44964939815173,1386.4705748699748,,,,,,
elec_costs,2.07066101819545,0.14794116799854154,0.943830908835593,2.0433622587167117,0.1536438209203897,0.9763299956288907,2.066563308169269,0.2511946011014573,1.0302988659738048,2.0784852477495495,0.2545632016703332,1.039616352240438,,,,,,
enemin-diff [kWh],-0.79170761127788,-0.1131574363829644,0.4761061467582972,-0.8069371105393671,-0.0025510599924319878,0.38089911789713266,-1.1095356420106983,0.02018723921160081,0.7048396233952002,-0.8052571303681839,0.1380289905417848,0.9843787053607522,,,,,,
enemin-diff-mean [W],-538.1399493582511,-116.14322511939663,243.39731331119137,-555.3880284084048,-45.34295413952504,131.1791654353369,-886.4485067471484,-51.993021139764444,424.7083528295394,-672.902696548017,-32.63876008344107,675.9021394112413,,,,,,
flex_costs,-0.3084280138166138,-0.12177377820565133,-0.09757717473310307,-0.6620797139730812,-0.11031601406518005,-0.4656072566718398,-0.15972549983493775,-0.05737494792108016,-0.03593828064818756,-0.3749225679689932,-0.06785389395397722,-0.22814109105103186,,,,,,
peak consumption [kW],30.000000298999588,4.270226181275068,24.000000173203265,30.00000029975411,6.000015796443308,24.000000179846577,30.000000289642188,9.172676535610467,24.00000016094823,30.000000289542655,11.876314041757523,24.00000017176371,,,,,,
peak time,2017-01-07 17:25:00,2017-03-01 17:15:00,2017-11-20 17:10:00,2017-01-07 17:25:00,2017-03-01 17:25:00,2017-11-20 17:25:00,2017-01-07 17:00:00,2017-03-01 16:45:00,2017-11-20 17:00:00,2017-01-07 17:25:00,2017-03-01 17:25:00,2017-11-20 17:25:00,,,,,,
totcons_hc [kWh],24.862597958647207,1.6135209241486828,11.086341619087175,24.47081188814941,2.5295829367114844,12.548330851012796,24.62853074771414,2.5574776943395814,12.262978891159396,24.96289256935945,3.6350474449698527,13.352237402011056,28.89093658810326,0.5136558513578486,9.58986097485049,24.612310747338615,0.9093615971217275,10.294435016936989
totcons_lc [kWh],46.24394906150063,5.518810506009077,25.459962809176247,43.728692360896716,2.511932000584647,22.450738288489116,46.4730739942683,11.438074538129776,27.03025939247896,43.62850196463195,4.439462602872857,23.64439195545142,12.171820463904803,0.0,3.8117705991681867,18.117333270255134,0.13089985386368883,6.715900958939317
