,T_in_delay1,T_in_delay4,PowerCompr_delay1,T_in_delay3,PowerCompr,T_in_delay2,weaTDryBul_delay1,T_in_delay13,Intercept,weaHGloHor_delay1
Detached_0,1.3765753958788038,-0.05090138395592035,0.11423479633310264,0.21495193325911124,0.05610219950570862,-0.6364547297011389,0.003646496069594318,0.027103229054530924,1.0325827269112582,0.0004810820446055767
Detached_1,1.5685410648447995,-0.07120705820052925,0.07655419945548715,0.27910879836616936,0.031009292186002624,-0.8309364830196133,-0.0016197154183524107,0.022875457470034794,0.4625770039323781,0.00047621133382760975
Detached_2,1.466270100134515,-0.060224612948550915,0.09647990813236593,0.24765727869105625,0.04517031206792727,-0.7345194731617193,-0.0008300863851143554,0.02599046373494575,0.8202622604064718,0.0005154517225166366
Detached_3,1.5122649184151233,-0.06586600470480974,0.08218900571783107,0.25368306211934777,0.032864395089369655,-0.7641722728620549,-0.00021972929372150287,0.02586371956027346,0.5843564269995444,0.00041756055946288767
Detached_4,1.5061812675470156,-0.06401992754098779,0.08504577625379581,0.2521416445045661,0.034927079251854766,-0.7617488625630506,3.306587362605298e-06,0.026011967759731594,0.6213584497702455,0.0004389594335295168
Detached_5,1.4134736638540475,-0.051861994442049156,0.102905901716287,0.20502963364263022,0.044021247878976384,-0.6502061540669051,0.004030506165436532,0.023018313247859374,0.9093912881135868,0.0003689704595277501
Detached_6,1.5795956363562123,-0.07355440039334901,0.07129641371083986,0.285497668041661,0.028608085818589424,-0.8421059438484266,-0.0012313573068226161,0.023882381044098497,0.4101960827282796,0.00039751673655531814
Detached_7,1.4554992439840815,-0.059056032143870466,0.1026824135982019,0.24520881986144705,0.046624097838549726,-0.7255793973740907,0.001028209370384054,0.025859745599922407,0.8924173128752207,0.00045454584371450976
Detached_8,1.4569636172821063,-0.054959975669904515,0.09497472555800199,0.22552438066821037,0.04068175754581049,-0.7013643737359009,0.00486660312779034,0.023348363616540788,0.7897121520641303,0.0003208280793557062
Detached_9,1.4052272377651762,-0.05405417137516308,0.11206257096047667,0.22495602302314427,0.05313171524865811,-0.6646902578586833,0.007934360321680408,0.02642042430012127,0.9729962502022796,0.0003265377638285284
SemiDetached_0,1.508605895814307,-0.06806066136502288,0.1250274375328987,0.27855823851330364,0.054583103516701745,-0.7897487627518096,0.0014818395174555274,0.02548372363904379,0.7017774054003241,0.00038698666968921036
SemiDetached_1,1.552090641253005,-0.07080719580561169,0.09168632393621784,0.2837065690258038,0.04281933663852243,-0.8188812775755254,-0.0028549052130644216,0.02482708314513417,0.4447728853256773,0.00039655102503240234
SemiDetached_10,1.483616496539195,-0.05661931202170119,0.12162146389235243,0.25094809563944825,0.05166345261746805,-0.7544561789101087,0.0013779987284083808,0.02484318910617931,0.8138043615632915,0.0003522639525711589
SemiDetached_11,1.5128326589150274,-0.057627397483252185,0.11605802867484827,0.2519995452187938,0.045435996659173,-0.7741397086523597,0.0023507745808742367,0.021790164315619497,0.7175623155098281,0.0002904558392163173
SemiDetached_2,1.4691379143996752,-0.05646120543409949,0.12446141883470958,0.2372314619290581,0.05255024808326836,-0.7214283187176317,0.0031591752763352066,0.023360393684901656,0.7553608696667446,0.0003428029812289354
SemiDetached_3,1.4985979457984977,-0.05614189617906731,0.11453286651947804,0.24297809913295612,0.044549276289364226,-0.7531047193514502,0.0016915957945525788,0.02245859281183331,0.7136936443298847,0.0003020721525756999
SemiDetached_4,1.5442359239373933,-0.05940132078274554,0.10627828776070505,0.2588735359142529,0.03911313333474725,-0.8069122510368261,-0.0010142566542354194,0.026247147774615037,0.5661480404734117,0.000364267239463457
SemiDetached_5,1.4543347956609063,-0.05438959076751135,0.12640001529228603,0.2377213383797976,0.055461130969180726,-0.7162317553002726,0.0025632887686244652,0.02467987705666877,0.8518576494629181,0.0003375213034216898
SemiDetached_6,1.5882737959055926,-0.07880608484549864,0.09528672483536582,0.3089735128199928,0.037774774922111586,-0.8729931383141706,-0.0026170936049972186,0.024367109629509245,0.4538805893704747,0.00038897415961733724
SemiDetached_7,1.5906959151445166,-0.074163489817265,0.09005326475552446,0.2959521206604289,0.03611283655285386,-0.8603913581200849,-0.0023957310971897215,0.023349473674802917,0.3672648770626201,0.0003835746448043835
SemiDetached_8,1.542917461063972,-0.07097235483187572,0.10492381088331874,0.2873272829308126,0.04859936443825008,-0.8222955780973178,-0.002382638916944041,0.02583372396527982,0.5638133676116538,0.0004241763613168233
SemiDetached_9,1.4696455482901656,-0.0519065714685685,0.12446068821992459,0.23887359235354869,0.0548429690145196,-0.7338654026417006,0.0013513104171358182,0.02514599108698673,0.818163095941505,0.00035895234535892787
Terrace_0,1.3376057904697656,-0.05486032962199365,0.15363620700579053,0.20731464590895854,0.050098647122458734,-0.566287312881359,-0.002288854512796059,0.032005927605903456,0.7053165057357635,0.00027028269038479935
Terrace_1,1.3642801918594505,-0.07023633238153765,0.14963600945647354,0.24219498540405482,0.05111689990079022,-0.6067285990307649,-0.003409164757034326,0.04033851908649083,0.4736571013067096,0.00033705886064252583
Terrace_2,1.3252070750056946,-0.08786960134560252,0.1781549695465175,0.27078753932056215,0.06921579800289002,-0.5916994443417535,0.00036776733361198154,0.030510857861132383,0.875231253237496,0.00032333025395854867
Terrace_3,1.3317670215594857,-0.058534936777249386,0.15885145021043037,0.21014045048184649,0.05591974897869673,-0.5569530979641328,-0.0030913216013772086,0.038370461677538964,0.5565521090829371,0.0003223334082644931
Terrace_4,1.355878235496066,-0.05877134605175403,0.1531608158978343,0.21559671147533788,0.05298568951432793,-0.5863022862622964,-0.003282337578147076,0.038342014585197065,0.5584007405949065,0.0003120162370730954
Terrace_5,1.3125312828529476,-0.07555591568355233,0.18524566462809677,0.25061358610829443,0.07164956027933889,-0.5759906075968384,0.0007838512145571918,0.02962892110266936,0.9824287178988202,0.0003050738865613818
Terrace_6,1.3553543585746648,-0.07900777139101264,0.17524088490543657,0.25692849957238034,0.06308134044025604,-0.6096931796263255,0.0009377137161656959,0.03019243844657568,0.7739452724060385,0.0002519390453931778
Terrace_7,1.4379148690564676,-0.10440298482757648,0.1373628705683775,0.31591496379956835,0.04590075382488654,-0.6988013291161026,-0.0038315172505346347,0.03450162982724821,0.21691975386110407,0.0003499942184019058
