,MSE-total-id,R2-valid,MSE-valid,MSE-model-resid,R2-id,MSE-model-id
Detached_0,1.8388869245264174,0.9885987249810644,0.03431046779242515,0.002712481172602052,0.9985342167716654,291.7504295918344
Detached_1,1.9135675075683978,0.9879630148084901,0.035361254653509575,0.00234965738894535,0.9987798343532622,303.67363029701306
Detached_2,1.7330092615265238,0.9878771211312615,0.03451598245769857,0.0022639520655778947,0.9987018514752585,274.99846312197144
Detached_3,1.762057243281063,0.9860105772875197,0.0374736602544236,0.0024788455029162897,0.9986020633627164,279.579935381364
Detached_4,1.8610294714532598,0.9869190280099203,0.036945639071125,0.0025902604626854334,0.9986169170539255,295.28793156229835
Detached_5,2.009310986441658,0.987691847682847,0.03534763707171406,0.0032250451445645168,0.9984050514433727,318.74799127346046
Detached_6,1.8183927146360455,0.9875280898634097,0.03372724624951812,0.002208694712047997,0.9987930033932867,288.57366963819163
Detached_7,1.7410737419626439,0.9880928183150111,0.033953414297300026,0.002207954799729797,0.9987398244383163,276.28866080401826
Detached_8,2.0095072380543413,0.9869120927406507,0.037520540647849196,0.0029313387709957997,0.998550445735869,318.82554644712474
Detached_9,2.0569264022426075,0.9861083948265412,0.04342126219278333,0.0026618613759231842,0.9987140481062693,326.40247224352686
SemiDetached_0,1.5566457836551744,0.9875110040656581,0.03436453516357526,0.0020674312025324056,0.9986802267931904,247.0072945431223
SemiDetached_1,1.3200148725328509,0.9857536486747717,0.03223629817474274,0.001933158298266248,0.9985447197545345,209.4304721977934
SemiDetached_10,1.3041279993910946,0.9893740190857887,0.02557696704657276,0.0017698486450169314,0.9986514285880819,206.93200935607734
SemiDetached_11,1.4220371845968778,0.9880799090194483,0.02835038983349502,0.0019380780847777289,0.998645689148358,225.63990722389624
SemiDetached_2,1.4792231030710805,0.9880064439384727,0.030924416991010395,0.002209849309302454,0.9985154766970329,234.68320461368072
SemiDetached_3,1.4300561463084205,0.9876364321302349,0.028882835523529705,0.0021385460190986787,0.9985139837732633,226.88237948087803
SemiDetached_4,1.3882851709771902,0.9891605700219699,0.02582094822329473,0.0019420308166092953,0.998609933833927,220.27646318966447
SemiDetached_5,1.3609270683333812,0.9890958833053342,0.026265189830786403,0.0021035761099975282,0.9984640346507659,215.9040584516032
SemiDetached_6,1.3366941934364687,0.988938485728336,0.0265793983723216,0.0016968483161925569,0.9987385530216671,212.11794168409338
SemiDetached_7,1.4296335277292098,0.9888999173665207,0.026303827174490348,0.0020356063149352776,0.9985850955734982,226.83148311991633
SemiDetached_8,1.3650154967742965,0.988492597961485,0.02827763671768846,0.0018721254756714587,0.9986371269248013,216.5902077873683
SemiDetached_9,1.341519902863374,0.9890266356319714,0.02678931287875963,0.001943394940813083,0.9985604657972491,212.84576632041436
Terrace_0,0.6796859087828734,0.9967894581181956,0.004155314006384217,0.001470543860816625,0.9978500529865605,107.76235630369872
Terrace_1,0.5483577895967593,0.9936327531463702,0.00808128763787968,0.0012448047091272011,0.9977442277699665,86.93141907018845
Terrace_2,0.7315762275941057,0.9974417636457918,0.003918956174035868,0.0013174538536109258,0.9982104910785494,116.03132261484335
Terrace_3,0.5616612108770794,0.9903294544078446,0.012224648325960706,0.0015256078133872512,0.9973008531539448,89.00084920571116
Terrace_4,0.5553048117959387,0.9930396394936475,0.009180649131108814,0.0013252902193885711,0.9976284209968673,88.02251594071569
Terrace_5,0.6223902505824436,0.9953723959470954,0.006549069226073812,0.0013299130221688337,0.9978766651004344,98.68091688093249
Terrace_6,0.6147252223405072,0.9933050589537064,0.00960119038101755,0.0014760514885218288,0.9976139556330645,97.43995542019286
Terrace_7,0.550685964084584,0.9927197062046512,0.009674946697581224,0.0010726059264809865,0.9980644953216075,87.32852840215841
