,PIcons_jan,PIcons_mar,PIcons_nov,centr_30bldgs_dyn_jan,centr_30bldgs_dyn_mar,centr_30bldgs_dyn_nov,centr_30bldgs_jan,centr_30bldgs_mar,centr_30bldgs_nov,decentr_30bldgs_dyn_jan,decentr_30bldgs_dyn_mar,decentr_30bldgs_dyn_nov,decentr_30bldgs_jan,decentr_30bldgs_mar,decentr_30bldgs_nov,minene_decentr_jan,minene_decentr_mar,minene_decentr_nov
Case Cost [pounds],,,,6.641181292642515,0.6601609031598508,3.1011469224065844,6.251885238333333,0.7347825549919166,2.5791690039108333,6.469061473762801,0.6601609031598508,3.0300698143086415,6.283723119934583,0.5899051297406667,2.660494099777083,,,
PI-diff [kWh],,,,-19.13231879333296,-4.129014540992117,-10.839772229374374,-13.634442958499633,-3.7788207043087856,-8.69293756374937,-19.629653478666295,-4.129014540992117,-10.849526265874369,-13.805223571499639,-3.8222285534004503,-9.489317359757703,,,
PI-diff-mean [W],,,,-33413.50116732373,-7420.352346074309,-19617.06923632115,-24453.31787732925,-6815.335000672653,-15700.844840558717,-34565.64862373256,-7420.352346074309,-19636.704987481364,-24428.342475837544,-6897.169802291437,-17185.747300188552,,,
Total Consumption [kWh],,,,137.93268814252502,13.911494101020836,56.566968703049994,107.20868786433331,10.630745930091667,44.330964104766664,138.30012029269167,13.911494101020836,56.58453067238334,108.31084228069165,10.806341591916665,47.49153303094167,,,
Violation Ch,,,,1.0323547148456196,1.0516638547884913,0.12553206941789577,0.15543360371498238,0.9214102180710123,0.004495816815657841,0.9836691857668806,1.0516638547884913,0.12876534567273268,0.16980579691440784,0.9214470734846002,0.008979719542566045,,,
dr-diff [kWh],,,,7.9240375148333335,1.2802620806916667,3.6630356068000003,-0.11481335450000188,0.8693878125416664,-0.4691467009083338,6.800404899500001,1.280262080691667,2.9532815703000006,-0.28559396750000066,-0.6553034020499999,-1.2748601369166668,,,
dr-diff-mean [W],,,,13584.064311142856,2194.7349954714286,6279.489611657143,-196.82289342857464,1490.3791072142853,-804.2514872714294,11657.83697057143,2194.7349954714286,5062.768406228572,-489.58965857142965,-1123.3772606571426,-2185.4745204285714,,,
dr-diff-wols [kWh],,,,6.292545787583332,1.280262080691667,2.1630356068,-3.114813354500001,-2.130612187458333,-3.4691467009083334,5.795211102250002,1.280262080691667,2.1532815703,-3.2855939675000005,-2.17402003655,-4.265526496916666,,,
dr-diff-wols-mean [W],,,,10787.221350142858,2194.7349954714286,3708.061040228571,-5339.680036285716,-3652.478035642857,-5947.108630128571,9934.647603857145,2194.7349954714286,3691.3398348000005,-5632.446801428572,-3726.8914912285713,-7312.331137571428,,,
elec_costs,,,,5.753262666167515,0.5457658250765174,2.705223668993251,6.22321311595,0.6239550418794166,2.5767888510016665,5.701982603904468,0.5457658250765174,2.705134211045308,6.253163090934583,0.631312621254,2.7335331693854164,,,
enemin-diff [kWh],,,,-5.729614606833333,-0.9023340766749998,-2.5617355634666663,-0.2317387720000003,-0.5521402399916666,-0.4149008978416667,-6.226949292166668,-0.9023340766749998,-2.5714895999666676,-0.40251938499999995,-0.5955480890833331,-1.21128069385,,,
enemin-diff-mean [W],,,,-9593.751971375692,-1788.4737470502762,-4666.998524243093,-633.5686813812156,-1183.4564016486186,-750.7741284806631,-10745.89942778453,-1788.4737470502762,-4686.634275403316,-608.593279889503,-1265.291203267403,-2235.676588110497,,,
flex_costs,,,,0.8879186264750001,0.11439507808333332,0.39592325341333334,0.028672122383333165,0.11082751311249997,0.0023801529091666152,0.7670788698583333,0.11439507808333332,0.3249356032633334,0.03056002899999995,-0.041407491513333325,-0.07303906960833333,,,
peak consumption [kW],,,,102.9703299,45.331211965,70.51508032,80.81010926,25.143049606,32.73004701,102.9703299,45.331211965,70.51508032,80.81010926,25.479816136,66.12563766,,,
peak time,,,,2017-01-07 16:40:00,2017-03-01 17:35:00,2017-11-20 17:05:00,2017-01-07 16:40:00,2017-03-01 17:35:00,2017-11-20 17:40:00,2017-01-07 16:40:00,2017-03-01 17:35:00,2017-11-20 17:05:00,2017-01-07 16:40:00,2017-03-01 17:35:00,2017-11-20 17:40:00,,,
totcons_hc [kWh],65.90446512826088,10.954962832095925,31.07300876229658,34.678536549499995,4.025741559483333,14.09661963238333,42.46693263975,4.477394698183334,17.08789937034167,33.90098122258335,4.025741559483333,14.081969942549994,41.9430831225,4.420053806925001,15.847088726333332,42.94019181416667,5.152185317283332,17.897285861266667
totcons_lc [kWh],83.219755792601,11.635978057102015,44.743507790953664,103.254151593025,9.885752541537501,42.470349070666664,64.74175522458334,6.153351231908333,27.243064734424998,104.39913907010833,9.885752541537501,42.502560729833334,66.36775915819165,6.386287784991667,31.64444430460833,61.89614921866666,3.4853718515666667,23.837005028916668
