,PIcons_nov,centr_30bldgs_300red_500f_nov,centr_30bldgs_300red_75r_nov,centr_30bldgs_300red_nov,centr_30bldgs_300red_plusbound_nov,centr_30bldgs_extDR_nov,centr_30bldgs_redDRcalltime_nov,minene_decentr_nov
Case Cost [pounds],,3.023007156802916,2.645852503873333,2.744654498629583,2.7526593791937497,3.1900103619159164,2.51806072633875,
PI-diff [kWh],,-9.905647716407707,-9.574507285124373,-9.072561692557708,-9.067227468149373,-8.352540041841037,-8.52445893586604,
PI-diff-mean [W],,-18044.108611647116,-17599.712701028333,-16460.148314431644,-16441.46075477971,-15172.471085989657,-15567.614759906784,
Total Consumption [kWh],,49.85445632095833,44.46115818886667,45.40068714842499,45.53877584905833,56.782053542275015,42.062642984225,
Violation Ch,,0.010171241246155205,0.06666037785703337,0.004643731840493122,0.005660822604824034,0.04823805295843897,0.004366527839991363,
dr-diff [kWh],,-0.18185685356666773,0.13108103604999816,0.6512291702833333,0.6565633946916661,0.17059655349999941,0.2799310994750023,
dr-diff-mean [W],,-311.7546061142875,224.71034751428255,1116.3928633428568,1125.5372480428562,292.45123457142756,479.88188481428966,
dr-diff-wols [kWh],,-4.681856853566666,-4.36891896395,-3.8487708297166665,-3.8434366053083333,-3.3294034464999993,-2.720068900525,
dr-diff-wols-mean [W],,-8026.0403204,-7489.575366771429,-6597.892850942857,-6588.748466242857,-5707.548765428571,-4662.975258042857,
elec_costs,,2.84958084733625,2.590575590935,2.6304578052679166,2.6375091118079164,3.2006992126075833,2.46679791189125,
enemin-diff [kWh],,-1.627611050500001,-1.2964706192166668,-0.7945250266500002,-0.7891908022416666,-0.0745033759333334,-0.2464222699583334,
enemin-diff-mean [W],,-3094.0378995690603,-2649.6419889502768,-1510.0776023535914,-1491.3900427016576,-222.4003739116022,-617.5440478287293,
flex_costs,,0.17342630946666607,0.055276912938333186,0.11419669336166666,0.11515026738583325,-0.010688850691666738,0.051262814447500166,
peak consumption [kW],,75.09831276999999,45.55099618000001,46.38429397,45.636158189999996,39.78183733,32.66835449,
peak time,,2017-11-20 17:35:00,2017-11-20 17:35:00,2017-11-20 17:40:00,2017-11-20 17:40:00,2017-11-20 17:35:00,2017-11-20 16:40:00,
totcons_hc [kWh],31.07300876229658,15.400069586183335,16.195945084533335,16.577581200258333,16.572887360500005,17.299921504583335,17.566993369641665,17.897285861266667
totcons_lc [kWh],44.743507790953664,34.454386734775014,28.265213104333334,28.823105948166663,28.965888488558335,31.16626128160834,24.49564961458334,23.837005028916668
